Feature,Importance
V14,0.1886627886855843
V10,0.1177218300276896
V12,0.10242195300780414
V17,0.09709843081310897
V4,0.09318791601781841
V3,0.06678761812277494
V11,0.05349189204297674
V16,0.04491285545912269
V2,0.036496452916889306
V9,0.02519878382806555
V7,0.0158466939137973
V21,0.014432172961063368
V18,0.013044715009431045
V19,0.012057267757525865
V8,0.011724583684706961
V27,0.010525856308345067
V20,0.009269911951599786
V1,0.009145494188465574
V5,0.008841459110327847
V26,0.008745191864882118
V13,0.008515610164431895
Amount,0.008025473772994734
V15,0.0069923310811357475
V22,0.00629405644064127
V6,0.006244908623611901
V28,0.005392236948557454
V24,0.005193852695892135
V23,0.004878681224938459
V25,0.004618251229873101
Time,0.004230730145943722
