Feature,SHAP Importance
V14,0.07554066876885977
V12,0.0685820488952265
V4,0.05220674373478335
V3,0.04994079610277372
V10,0.04691537379587138
V11,0.04390170856592699
V17,0.034746651723746164
V16,0.020041682260820603
V7,0.011084163743256952
V2,0.011063253147760832
V9,0.010334719005957456
V1,0.009355986049513041
V18,0.008689551490501962
V5,0.0063044624453926
V8,0.006012461886837201
V21,0.004993534208198924
V24,0.00498683830312979
V26,0.0048569611565517454
V19,0.0048566255635427245
V20,0.004768386367876812
V13,0.004675466822408361
V27,0.004477900387917671
Time,0.004285188124000775
V22,0.004229125946453228
Amount,0.004037039800626724
V15,0.003877509636778707
V25,0.003593740305644084
V6,0.003266958365323274
V28,0.0032302147216545047
V23,0.002688636411492545
